"","plot","subplot","treatment"
"1",1,"A","Disturb"
"20",2,"D","NPK"
"35",3,"D","Control"
"50",4,"C","NPK+Disturb"
"62",5,"B","NPK_Cessation"
"75",6,"B","Control"
"90",7,"B","NPK"
"103",8,"B","NPK_Cessation"
"116",9,"A","Disturb"
"132",10,"C","NPK+Disturb"
"146",11,"B","NPK"
"158",12,"D","NPK+Disturb"
"174",13,"B","NPK_Cessation"
"185",14,"C","Disturb"
"203",15,"B","Control"
